x,flux_0,flux_1,vf_0,vf_1
4.02,0.300852982745118,0.006754230823619838,0.5874043374857814,0.41259566251421864
4.03,0.299948666781334,0.006735498992887994,0.5877718421558337,0.41222815784416633
4.04,0.2990479776116908,0.006717542143296395,0.5881377567359038,0.41186224326409615
4.05,0.29815089521469346,0.006700291144749888,0.5885020881058667,0.41149791189413326
4.06,0.2972573996008235,0.006683683009247419,0.5888648431158301,0.41113515688416996
4.07,0.29636747082393844,0.00666766034624335,0.5892260285862627,0.4107739714137372
4.08,0.2954810889914956,0.006652170866283004,0.5895856513081237,0.41041434869187626
4.09,0.2945982342737094,0.006637166928635191,0.5899437180429892,0.41005628195701077
4.1,0.29371888691174,0.006622605129023308,0.59030023552318,0.40969976447682
4.11,0.29284302722500266,0.0066084459239019264,0.5906552104518882,0.4093447895481118
4.12,0.2919706356176789,0.006594653288040433,0.5910086495033026,0.40899135049669744
4.13,0.29110169258450214,0.006581194402462215,0.5913605593227351,0.40863944067726493
4.14,0.29023617871588747,0.006568039370049308,0.5917109465267449,0.40828905347325506
4.15,0.28937407470246335,0.006555160956360726,0.5920598177032637,0.4079401822967364
4.16,0.2885153613390646,0.006542534353429902,0.5924071794117182,0.40759282058828183
4.17,0.2876600195282315,0.006530136964504615,0.5927530381831552,0.4072469618168449
4.18,0.2868080302832685,0.006517948207873276,0.5930974005203626,0.40690259947963736
4.19,0.2859593747308956,0.006505949338085791,0.5934402728979936,0.4065597271020064
4.2,0.28511403411353836,0.006494123283027232,0.5937816617626865,0.4062183382373135
4.21,0.28425897867794875,0.006474981308738762,0.5941608613372402,0.4058391386627598
4.22,0.2834073748311378,0.006456720675586948,0.5945384015689226,0.4054615984310775
4.23,0.2825592034806659,0.006439262627315784,0.5949142897188671,0.405085710281133
4.24,0.28171444554289454,0.006422535405176043,0.5952885330164331,0.40471146698356686
4.25,0.2808730819562233,0.006406473627316814,0.5956611386593454,0.40433886134065455
4.26,0.2800350936929853,0.006391017723195136,0.5960321138138318,0.4039678861861682
4.27,0.2792004617701245,0.006376113418128149,0.5964014656147615,0.4035985343852385
4.28,0.27836916725876715,0.006361711263544023,0.5967692011657819,0.40323079883421803
4.29,0.2775411912927876,0.006347766208881664,0.597135327539456,0.40286467246054397
4.3,0.27671651507646355,0.0063342372114479056,0.5974998517773973,0.40250014822260266
4.31,0.27589511989130133,0.0063210868808680045,0.5978627808904065,0.40213721910959355
4.32,0.27507698710211237,0.006308281155063201,0.598224121858605,0.40177587814139504
4.33,0.2742620981624064,0.006295789004960927,0.5985838816315702,0.40141611836842983
4.34,0.2734504346191654,0.006283582165390659,0.5989420671284688,0.40105793287153124
4.35,0.2726419781170592,0.006271634889844279,0.5992986852381897,0.40070131476181026
4.36,0.27183671040214896,0.006259923726985329,0.5996537428194768,0.4003462571805232
4.37,0.27103461332513246,0.006248427316979146,0.6000072467010606,0.39999275329893935
4.38,0.2702356688441695,0.006237126205886603,0.60035920368179,0.39964079631821003
4.39,0.26943985902732925,0.006226002676520009,0.6007096205307623,0.3992903794692378
